"타임스탬프","(필수답변) 1-1. 이번 프로그램 전반에 대하여 얼마나 만족하셨습니까?","(선택답변) 1-1. 불만족 시 사유 ","(필수답변) 1-2. 이번 프로그램을 다른 사람에게 추천하실 의향이 있으십니까?","(선택답변) 1-2. 불만족 시 사유 ","(필수답변) 2-1. 본 과정은 학습자 수준에 맞춰 체계적으로 내용으로 구성되었습니까?","(선택답변) 2-1. 불만족 시 사유 ","(필수답변) 3-1. 본 과정의 교육 시설 및 환경에 만족하셨습니까?","(선택답변) 3-1. 불만족 시 사유 ","(필수답변) 3-2. 본 과정을 위해 주어진 시간을 적절하였습니까?","(선택답변) 3-2. 불만족 시 사유 ","(필수답변) 3-3. 본 과정을 위한 운영, 지원에 대하여 만족하셨습니까?","(선택답변) 3-3. 불만족 시 사유 ","(필수답변) 4-1. 본 과정의 강사는 교육을 열정적으로 이끌었습니까?","(선택답변) 4-1. 불만족 시 사유 ","(필수답변) 4-2. 본 과정의 강사는 질의응답 혹은 피드백에 적극적으로 답하였습니까?","(선택답변) 4-2. 불만족 시 사유 ","(필수답변) 4-3. 본 과정의 난이도는 대체로 적절하였습니까?","(선택답변) 4-3. 불만족 시 사유 ","(필수답변) 4-1. 본 과정의 강사는 교육을 열정적으로 이끌었습니까?","(선택답변) 4-1. 불만족 시 사유 ","(필수답변) 4-2. 본 과정의 강사는 질의응답 혹은 피드백에 적극적으로 답하였습니까?","(선택답변) 4-2. 불만족 시 사유 ","(필수답변) 4-3. 본 과정의 난이도는 대체로 적절하였습니까?","(선택답변) 4-3. 불만족 시 사유 ","6-1. 교육 진행 중 유익하고 좋았던 점을 자유롭게 작성해주세요.","6-2. 교육 진행 중 개선되었으면 하는 점을 자유롭게 작성해주세요.","6-3.  전문인재 인증자 특강 관련 희망 방향 및 주제를 자유롭게 작성해 주세요.  "
"2026/05/07 6:02:43 오후 GMT+9","9","","9","","9","","6","","8","","8","","10","","10","","9","","10","","10","","9","","교육과정 구성이 알차고 좋은것 같습니다","수업 영상은 편집 시간이 걸려서 늦게 업로드 된다면, 편집하지 않더라도 바로 볼 수 있도록 해주시면 좋겠습니다","실제 업무 적용 사례를 조금 더 구체적으로 볼 수 있으면 좋겠습니다"
"2026/05/07 6:06:05 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 6:07:15 오후 GMT+9","10","","10","","9","조금 어렵고 빨랐습니다. 하지만 동기부여는 확실히 되었습니다","10","","9","길면 길수록 좋은 과정인것 같습니다","10","","10","","10","","9","조금 어려웠습니다","10","","10","","9","조금 빨랐습니다","교육생들의 니즈를 이미 잘 파악하시고 계셔서 교육과정이 안정적으로 느껴졌습니다. 가감없는 표현과 끊임없는 동기부여로 자칫 어렵게느껴지거나 막막할수있는 지점에서도 강하게 동기부여 되었습니다.","조금 빠른 템포였지만 자료제공 등 후속지원이 체계적이라 오히려 좀 더 각성?하게 되는 면도 있었습니다","다양한기관의 다양한 ai 적용사례 - 책으로 나와있지만 실무자의 생생한 진행과정이 듣고싶습니다"
"2026/05/07 6:16:22 오후 GMT+9","1","","1","","1","","9","","9","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 6:23:18 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","전문강사진과 쾌적한 강의 환경","",""
"2026/05/07 6:32:19 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 6:33:09 오후 GMT+9","10","","8","","10","","10","","10","","10","","10","","10","","9","","10","","10","","10","","중앙정부의 흐름에 맞는 전문 교육과 AX전환에 대한 같은 문제를 함께 고민하는 교육생을 만나게 되서 앞으로 기대가 큽니다","","전문인재로써 해당기관에 적용한 사례를 중점으로 소개 되었으면 좋겠습니다"
"2026/05/07 6:36:02 오후 GMT+9","10","","10","","9","","9","","9","","10","","9","","9","","10","","10","","10","","9","","빠른 ai기술 속도가 반영된 교재 및 업데이트","오송 취소된 부분이 아쉽습니다","공공도입관련 보안성검토 및 개인정보처리방안"
"2026/05/07 6:59:30 오후 GMT+9","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","입교식을 잘 준비해주셔서 감사합니다. 저희도 열심히 하겠습니다. 많이 도와주세요.","국장님과의 간담회 너무 좋았습니다. 교육 중간에도 한번더 간담회 자리가 있었으면 좋겠습니다.","파운데이션 모델에 관해서 특강을 2차례(LLM기본, 멀티모달) 정도 있었으면 합니다."
"2026/05/07 7:29:18 오후 GMT+9","7","","8","","8","","5","","7","","9","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 8:57:45 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","기존 대중적인 대상의 교육이 아니라 난이도가 있어서 더 열의를 느낄수 있어서 좋았습니다","",""
"2026/05/07 9:20:54 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/07 10:02:37 오후 GMT+9","10","","10","","6","AI에 대해 미숙한 초보자가 듣기에는 난이도가 존재하여 어려움을 느낄 수 있을 것으로 생각됩니다.","6","사람 수에 비해 화장실이 좁고 불편","5","커리큐럼과 강의의 밀도가 높은데 상대적으로 휴식시간이 부족함.","8","","10","","10","","10","","10","","10","","5","어려움. 강의의 밀도가 높아 잠깐 놓치면 따라가기 힘들 것으로 보임.","강사 분들이 성심성의껏 답변해주셔서 좋았습니다.","어려움. 강의의 밀도가 높아 잠깐 놓치면 따라가기 힘들 것으로 보임.",""
"2026/05/07 11:00:32 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/09 9:59:52 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","","",""
"2026/05/11 1:07:25 오후 GMT+9","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","10","","공무원 최고 전문가들이 모인 점","없습니다","개인 프로젝트 컨설팅 교육"
